coonhound.n.01	coonhound.n.01
kangaroo_mouse.n.02	kangaroo_mouse.n.02
farm_horse.n.01	mammal.n.01
freetail.n.01	mammal.n.01
longwool.n.01	ungulate.n.01
sei_whale.n.01	sei_whale.n.01
sassaby.n.01	mammal.n.01
kit_fox.n.01	mammal.n.01
fur_seal.n.02	mammal.n.01
musk_ox.n.01	bovid.n.01
american_mastodon.n.01	mastodon.n.01
western_lowland_gorilla.n.01	placental.n.01
mustang.n.01	pony.n.01
rat_kangaroo.n.01	marsupial.n.01
great_ape.n.01	placental.n.01
woolly_mammoth.n.01	elephant.n.01
stallion.n.01	ungulate.n.01
steeplechaser.n.01	horse.n.01
boston_bull.n.01	hunting_dog.n.01
woolly_mammoth.n.01	proboscidean.n.01
field_spaniel.n.01	mammal.n.01
potto.n.02	primate.n.02
striped_hyena.n.01	hyena.n.01
manchester_terrier.n.01	carnivore.n.01
uakari.n.01	placental.n.01
chamois.n.02	even-toed_ungulate.n.01
field_spaniel.n.01	dog.n.01
american_water_spaniel.n.01	mammal.n.01
chamois.n.02	chamois.n.02
doberman.n.01	dog.n.01
appenzeller.n.01	placental.n.01
steed.n.01	warhorse.n.03
manchester_terrier.n.01	terrier.n.01
ferret.n.02	ferret.n.02
wild_sheep.n.01	placental.n.01
secretariat.n.02	mammal.n.01
apar.n.01	apar.n.01
three-toed_sloth.n.01	three-toed_sloth.n.01
snake_muishond.n.01	snake_muishond.n.01
springer_spaniel.n.01	carnivore.n.01
clumber.n.01	sporting_dog.n.01
sand_rat.n.02	rodent.n.01
flying_phalanger.n.01	flying_phalanger.n.01
afghan_hound.n.01	hound.n.01
palomino.n.01	mammal.n.01
cattle.n.01	bovid.n.01
spouter.n.03	mammal.n.01
patas.n.01	patas.n.01
mink.n.03	musteline_mammal.n.01
central_chimpanzee.n.01	ape.n.01
merino.n.01	even-toed_ungulate.n.01
war_admiral.n.01	equine.n.01
macrotus.n.01	leafnose_bat.n.01
silky_tamarin.n.01	marmoset.n.01
shetland_pony.n.01	horse.n.01
impala.n.01	ruminant.n.01
anthropoid.n.02	placental.n.01
meerkat.n.01	carnivore.n.01
dik-dik.n.01	ruminant.n.01
red_deer.n.01	ruminant.n.01
norfolk_terrier.n.01	mammal.n.01
marco_polo_sheep.n.01	mammal.n.01
tom.n.02	feline.n.01
green_monkey.n.01	placental.n.01
great_pyrenees.n.01	great_pyrenees.n.01
alpaca.n.03	ungulate.n.01
blackbuck.n.01	antelope.n.01
rhesus.n.01	monkey.n.01
elephant_seal.n.01	earless_seal.n.01
gemsbok.n.01	oryx.n.01
sewer_rat.n.01	mammal.n.01
sand_cat.n.01	wildcat.n.03
hazel_mouse.n.01	mammal.n.01
stallion.n.01	male_horse.n.01
ibex.n.01	even-toed_ungulate.n.01
red_deer.n.01	even-toed_ungulate.n.01
meadow_jumping_mouse.n.01	rodent.n.01
pipistrelle.n.01	bat.n.01
jungle_cat.n.01	placental.n.01
neandertal_man.n.01	homo.n.02
brittany_spaniel.n.01	spaniel.n.01
lion_cub.n.01	mammal.n.01
field_spaniel.n.01	placental.n.01
round-tailed_muskrat.n.01	mammal.n.01
palm_cat.n.01	carnivore.n.01
lhasa.n.02	mammal.n.01
italian_greyhound.n.01	mammal.n.01
vampire_bat.n.01	vampire_bat.n.01
blue_fox.n.01	blue_fox.n.01
seal.n.09	mammal.n.01
red-backed_mouse.n.01	mammal.n.01
stepper.n.03	equine.n.01
howler_monkey.n.01	primate.n.02
dairy_cattle.n.01	bovid.n.01
appenzeller.n.01	canine.n.02
common_raccoon.n.01	common_raccoon.n.01
slender-tailed_meerkat.n.01	carnivore.n.01
masked_shrew.n.01	masked_shrew.n.01
cat.n.01	cat.n.01
mouflon.n.01	ungulate.n.01
tigress.n.01	tigress.n.01
peking_man.n.01	homo_erectus.n.01
sewer_rat.n.01	rodent.n.01
guernsey.n.02	ruminant.n.01
onager.n.02	ungulate.n.01
great_ape.n.01	primate.n.02
howler_monkey.n.01	mammal.n.01
african_elephant.n.01	placental.n.01
pocketed_bat.n.01	placental.n.01
cavalry_horse.n.01	saddle_horse.n.01
flying_fox.n.01	fruit_bat.n.01
gazella_subgutturosa.n.01	even-toed_ungulate.n.01
giant_schnauzer.n.01	carnivore.n.01
true_marmoset.n.01	true_marmoset.n.01
eared_seal.n.01	eared_seal.n.01
dryopithecine.n.01	placental.n.01
beaver_rat.n.01	rodent.n.01
hunting_dog.n.01	carnivore.n.01
blacktail_jackrabbit.n.01	placental.n.01
draft_horse.n.01	equine.n.01
kangaroo_mouse.n.01	pocket_rat.n.01
guide_dog.n.01	working_dog.n.01
ibizan_hound.n.01	hound.n.01
griffon.n.02	mammal.n.01
wire-haired_fox_terrier.n.01	hunting_dog.n.01
echidna.n.02	monotreme.n.01
angora.n.04	placental.n.01
brown_swiss.n.01	ungulate.n.01
australopithecine.n.01	australopithecine.n.01
skunk.n.04	skunk.n.04
gazelle.n.01	gazelle.n.01
large_poodle.n.01	dog.n.01
nilgai.n.01	bovid.n.01
water_vole.n.02	rodent.n.01
pocketed_bat.n.01	pocketed_bat.n.01
bottlenose_dolphin.n.01	bottlenose_dolphin.n.01
carthorse.n.01	workhorse.n.02
equine.n.01	ungulate.n.01
bellwether.n.02	bovid.n.01
argali.n.01	argali.n.01
fallow_deer.n.01	ruminant.n.01
new_world_least_weasel.n.01	new_world_least_weasel.n.01
lion_cub.n.01	placental.n.01
tibetan_mastiff.n.01	placental.n.01
eurasian_otter.n.01	carnivore.n.01
whippet.n.01	dog.n.01
hooded_skunk.n.01	hooded_skunk.n.01
tiger_cat.n.02	cat.n.01
kelpie.n.02	working_dog.n.01
bellwether.n.02	ruminant.n.01
domestic_cat.n.01	placental.n.01
attack_dog.n.01	carnivore.n.01
rhodesian_ridgeback.n.01	dog.n.01
hominid.n.01	placental.n.01
pygmy_sperm_whale.n.01	toothed_whale.n.01
bellwether.n.02	bellwether.n.02
fox_terrier.n.01	fox_terrier.n.01
gnu.n.01	even-toed_ungulate.n.01
bongo.n.02	ungulate.n.01
rudapithecus.n.01	dryopithecine.n.01
western_big-eared_bat.n.01	mammal.n.01
coondog.n.01	hunting_dog.n.01
bottlenose_dolphin.n.01	dolphin.n.02
waterbuck.n.01	waterbuck.n.01
hartebeest.n.01	ruminant.n.01
least_shrew.n.01	insectivore.n.01
harvest_mouse.n.02	mammal.n.01
vervet.n.01	placental.n.01
orange_bat.n.01	mammal.n.01
cattalo.n.01	beef.n.01
aardwolf.n.01	aardwolf.n.01
tibetan_terrier.n.01	tibetan_terrier.n.01
irish_wolfhound.n.01	canine.n.02
mountain_nyala.n.01	ungulate.n.01
margay.n.01	margay.n.01
toy_manchester.n.01	dog.n.01
lhasa.n.02	lhasa.n.02
italian_greyhound.n.01	italian_greyhound.n.01
loir.n.01	rodent.n.01
groenendael.n.01	working_dog.n.01
whirlaway.n.01	mammal.n.01
toy_dog.n.01	carnivore.n.01
cape_buffalo.n.01	ungulate.n.01
spitz.n.01	dog.n.01
manchester_terrier.n.01	mammal.n.01
retriever.n.01	sporting_dog.n.01
river_dolphin.n.01	cetacean.n.01
pied_lemming.n.01	placental.n.01
border_collie.n.01	working_dog.n.01
foxhound.n.01	hound.n.01
keeshond.n.01	dog.n.01
hampshire.n.02	mammal.n.01
welsh_springer_spaniel.n.01	springer_spaniel.n.01
pere_david's_deer.n.01	deer.n.01
imperial_mammoth.n.01	mammoth.n.01
papillon.n.01	toy_spaniel.n.01
rice_rat.n.01	placental.n.01
australopithecus_robustus.n.01	australopithecine.n.01
appenzeller.n.01	dog.n.01
oryx.n.01	mammal.n.01
mapinguari.n.01	edentate.n.01
kangaroo_mouse.n.01	placental.n.01
appenzeller.n.01	mammal.n.01
addax.n.01	ungulate.n.01
angwantibo.n.01	lemur.n.01
welsh_springer_spaniel.n.01	sporting_dog.n.01
plains_pocket_mouse.n.01	plains_pocket_mouse.n.01
eastern_chimpanzee.n.01	primate.n.02
soft-coated_wheaten_terrier.n.01	hunting_dog.n.01
tasmanian_devil.n.01	dasyurid_marsupial.n.01
wild_boar.n.01	placental.n.01
american_red_squirrel.n.01	tree_squirrel.n.01
heifer.n.01	cattle.n.01
african_hunting_dog.n.01	canine.n.02
brocket.n.02	ungulate.n.01
goat_antelope.n.01	goat_antelope.n.01
workhorse.n.02	ungulate.n.01
toothed_whale.n.01	cetacean.n.01
schipperke.n.01	canine.n.02
field_mouse.n.02	mouse.n.01
markhor.n.01	even-toed_ungulate.n.01
typical_jerboa.n.01	placental.n.01
silky_anteater.n.01	mammal.n.01
echidna.n.02	prototherian.n.01
protohippus.n.01	equine.n.01
giant_kangaroo.n.01	kangaroo.n.01
greater_kudu.n.01	bovid.n.01
sea_lion.n.01	pinniped_mammal.n.01
goat.n.01	bovid.n.01
western_big-eared_bat.n.01	vespertilian_bat.n.01
dairy_cattle.n.01	mammal.n.01
american_foxhound.n.01	hunting_dog.n.01
grasshopper_mouse.n.01	vole.n.01
genet.n.03	mammal.n.01
eastern_pipistrel.n.01	eastern_pipistrel.n.01
flickertail.n.01	ground_squirrel.n.02
heifer.n.01	ruminant.n.01
bruin.n.01	bear.n.01
earless_seal.n.01	placental.n.01
warrigal.n.01	wild_horse.n.01
pygmy_sperm_whale.n.01	whale.n.02
hound.n.01	canine.n.02
european_lemming.n.01	lemming.n.01
proboscis_monkey.n.01	placental.n.01
mule_deer.n.01	ungulate.n.01
bassarisk.n.01	placental.n.01
tabby.n.02	feline.n.01
cheviot.n.01	sheep.n.01
buck.n.05	mammal.n.01
welsh_springer_spaniel.n.01	spaniel.n.01
hare_wallaby.n.01	kangaroo.n.01
cotton_mouse.n.01	wood_mouse.n.01
river_otter.n.01	river_otter.n.01
kanchil.n.01	kanchil.n.01
mara.n.02	placental.n.01
plains_pocket_gopher.n.01	plains_pocket_gopher.n.01
long-tailed_porcupine.n.01	long-tailed_porcupine.n.01
english_foxhound.n.01	foxhound.n.01
bighorn.n.02	bovid.n.01
lionet.n.01	feline.n.01
brown_bear.n.01	brown_bear.n.01
zebu.n.01	placental.n.01
bezoar_goat.n.01	even-toed_ungulate.n.01
dandie_dinmont.n.01	dandie_dinmont.n.01
rudapithecus.n.01	placental.n.01
takin.n.01	placental.n.01
yearling.n.03	yearling.n.03
pteropus_capestratus.n.01	pteropus_capestratus.n.01
rice_rat.n.01	rat.n.01
musk_deer.n.01	ruminant.n.01
cuscus.n.01	marsupial.n.01
gelding.n.01	male_horse.n.01
frosted_bat.n.01	placental.n.01
asian_wild_ox.n.01	even-toed_ungulate.n.01
roe_deer.n.01	placental.n.01
anoa.n.01	even-toed_ungulate.n.01
watchdog.n.02	carnivore.n.01
paca.n.01	placental.n.01
sambar.n.01	even-toed_ungulate.n.01
retriever.n.01	canine.n.02
orangutan.n.01	ape.n.01
american_black_bear.n.01	mammal.n.01
european_rabbit.n.01	mammal.n.01
dingo.n.01	canine.n.02
clumber.n.01	dog.n.01
chinchilla.n.03	placental.n.01
aardwolf.n.01	placental.n.01
stud.n.04	mammal.n.01
aoudad.n.01	even-toed_ungulate.n.01
chigetai.n.01	odd-toed_ungulate.n.01
vizsla.n.01	sporting_dog.n.01
black-and-tan_coonhound.n.01	hound.n.01
grey_fox.n.01	mammal.n.01
atlantic_bottlenose_dolphin.n.01	toothed_whale.n.01
lion_cub.n.01	lion.n.01
leonberg.n.01	placental.n.01
oryx.n.01	ruminant.n.01
wolf_pup.n.01	wolf.n.01
ruminant.n.01	even-toed_ungulate.n.01
small_civet.n.01	carnivore.n.01
jaculus_jaculus.n.01	jerboa.n.01
lesser_kudu.n.01	even-toed_ungulate.n.01
koala.n.01	metatherian.n.01
cow_pony.n.01	placental.n.01
columbian_mammoth.n.01	proboscidean.n.01
gerenuk.n.01	ruminant.n.01
mink.n.03	mammal.n.01
packrat.n.02	wood_rat.n.01
gaur.n.01	ruminant.n.01
jerboa_kangaroo.n.01	jerboa_kangaroo.n.01
kit_fox.n.01	kit_fox.n.01
skye_terrier.n.01	skye_terrier.n.01
woodland_caribou.n.01	woodland_caribou.n.01
leopardess.n.01	feline.n.01
american_mastodon.n.01	mammal.n.01
watchdog.n.02	placental.n.01
lerot.n.01	dormouse.n.01
false_vampire.n.01	bat.n.01
hack.n.07	mammal.n.01
brabancon_griffon.n.01	dog.n.01
airedale.n.01	airedale.n.01
bedlington_terrier.n.01	terrier.n.01
toy_dog.n.01	canine.n.02
common_dolphin.n.01	dolphin.n.02
seizure-alert_dog.n.01	working_dog.n.01
argali.n.01	mammal.n.01
imperial_mammoth.n.01	placental.n.01
labrador_retriever.n.01	placental.n.01
liger.n.01	big_cat.n.01
wild_ass.n.01	odd-toed_ungulate.n.01
orangutan.n.01	mammal.n.01
white_whale.n.01	white_whale.n.01
welsh_pony.n.01	welsh_pony.n.01
guanaco.n.01	llama.n.01
arctic_ground_squirrel.n.01	arctic_ground_squirrel.n.01
giraffe.n.01	ruminant.n.01
mantled_ground_squirrel.n.01	mammal.n.01
hack.n.08	ungulate.n.01
lion.n.01	feline.n.01
ox.n.02	ungulate.n.01
bettong.n.01	mammal.n.01
blackbuck.n.01	mammal.n.01
slow_loris.n.01	lemur.n.01
border_terrier.n.01	mammal.n.01
bronco.n.01	mammal.n.01
hispid_pocket_mouse.n.01	pocket_rat.n.01
hare_wallaby.n.01	wallaby.n.01
doberman.n.01	mammal.n.01
tiger.n.02	big_cat.n.01
buckskin.n.01	ungulate.n.01
peking_man.n.01	hominid.n.01
big-eared_bat.n.01	big-eared_bat.n.01
golden_hamster.n.01	golden_hamster.n.01
wirehair.n.01	terrier.n.01
brewer's_mole.n.01	mammal.n.01
okapi.n.01	ruminant.n.01
silverback.n.01	great_ape.n.01
kangaroo.n.01	mammal.n.01
mule_deer.n.01	placental.n.01
new_world_tapir.n.01	ungulate.n.01
clumber.n.01	canine.n.02
indian_elephant.n.01	mammal.n.01
chamois.n.02	bovid.n.01
bottlenose_dolphin.n.01	toothed_whale.n.01
welsh.n.03	ungulate.n.01
squirrel.n.01	placental.n.01
zinjanthropus.n.01	mammal.n.01
alaskan_brown_bear.n.01	brown_bear.n.01
american_saddle_horse.n.01	odd-toed_ungulate.n.01
ord_kangaroo_rat.n.01	rat.n.01
hack.n.06	horse.n.01
forest_goat.n.01	bovid.n.01
entlebucher.n.01	entlebucher.n.01
santa_gertrudis.n.01	ungulate.n.01
egyptian_cat.n.01	cat.n.01
barren_ground_caribou.n.01	placental.n.01
serval.n.01	placental.n.01
hunting_dog.n.01	hunting_dog.n.01
lesser_kudu.n.01	mammal.n.01
kob.n.01	waterbuck.n.01
indian_buffalo.n.01	ungulate.n.01
groenendael.n.01	mammal.n.01
elephant_seal.n.01	placental.n.01
brittany_spaniel.n.01	dog.n.01
common_zebra.n.01	mammal.n.01
guanaco.n.01	even-toed_ungulate.n.01
aegyptopithecus.n.01	hominoid.n.01
asiatic_black_bear.n.01	placental.n.01
okapi.n.01	okapi.n.01
phyllostomus_hastatus.n.01	placental.n.01
seeing_eye_dog.n.01	seeing_eye_dog.n.01
old_world_porcupine.n.01	old_world_porcupine.n.01
tamarin.n.01	marmoset.n.01
shetland_pony.n.01	pony.n.05
wapiti.n.01	even-toed_ungulate.n.01
bird_dog.n.01	hunting_dog.n.01
dusky-footed_woodrat.n.01	mammal.n.01
brewer's_mole.n.01	mole.n.06
northern_pocket_gopher.n.01	placental.n.01
wolfhound.n.01	dog.n.01
stalking-horse.n.04	mammal.n.01
silverback.n.01	primate.n.02
meadow_jumping_mouse.n.01	meadow_jumping_mouse.n.01
malamute.n.01	canine.n.02
plains_pocket_mouse.n.01	rat.n.01
tarpan.n.01	horse.n.01
grey_lemming.n.01	placental.n.01
komondor.n.01	dog.n.01
harbor_seal.n.01	seal.n.09
jird.n.01	placental.n.01
world.n.08	world.n.08
grey_lemming.n.01	grey_lemming.n.01
damaraland_mole_rat.n.01	damaraland_mole_rat.n.01
welsh_springer_spaniel.n.01	mammal.n.01
spearnose_bat.n.01	bat.n.01
jungle_cat.n.01	carnivore.n.01
common_eland.n.01	even-toed_ungulate.n.01
charolais.n.01	even-toed_ungulate.n.01
dairy_cattle.n.01	bovine.n.01
new_world_monkey.n.01	placental.n.01
broadtail.n.02	even-toed_ungulate.n.01
housedog.n.01	canine.n.02
wisent.n.01	bovid.n.01
horse.n.01	mammal.n.01
malayan_tapir.n.01	ungulate.n.01
harrier.n.02	hound.n.01
marten.n.01	placental.n.01
clydesdale.n.01	draft_horse.n.01
broodmare.n.01	placental.n.01
stone_marten.n.01	placental.n.01
marsh_hare.n.01	rabbit.n.01
sheep.n.01	sheep.n.01
plott_hound.n.01	hound.n.01
samoyed.n.03	samoyed.n.03
blacktail_jackrabbit.n.01	mammal.n.01
thomson's_gazelle.n.01	gazelle.n.01
black-and-tan_coonhound.n.01	canine.n.02
mexican_hairless.n.01	mexican_hairless.n.01
metatherian.n.01	metatherian.n.01
wolf.n.01	mammal.n.01
mesohippus.n.01	mammal.n.01
red_poll.n.01	mammal.n.01
bowhead.n.01	baleen_whale.n.01
silver_fox.n.01	fox.n.01
cardigan.n.02	canine.n.02
lincoln.n.03	ruminant.n.01
pachyderm.n.01	placental.n.01
watchdog.n.02	working_dog.n.01
whirlaway.n.01	equine.n.01
red-backed_mouse.n.01	rodent.n.01
weimaraner.n.01	mammal.n.01
bernese_mountain_dog.n.01	dog.n.01
arabian_camel.n.01	placental.n.01
pinche.n.01	primate.n.02
pekinese.n.01	canine.n.02
viscacha.n.01	rodent.n.01
australopithecus_robustus.n.01	australopithecus_robustus.n.01
ord_kangaroo_rat.n.01	ord_kangaroo_rat.n.01
rambouillet.n.01	rambouillet.n.01
lippizan.n.01	horse.n.01
pug.n.01	placental.n.01
kelpie.n.02	placental.n.01
harp_seal.n.01	aquatic_mammal.n.01
boxer.n.04	placental.n.01
tamarau.n.01	mammal.n.01
eastern_grey_squirrel.n.01	placental.n.01
gemsbok.n.01	ruminant.n.01
cattalo.n.01	bovid.n.01
wether.n.01	sheep.n.01
standard_poodle.n.01	standard_poodle.n.01
mouflon.n.01	placental.n.01
german_shepherd.n.01	canine.n.02
old_world_beaver.n.01	rodent.n.01
plott_hound.n.01	dog.n.01
wire-haired_fox_terrier.n.01	placental.n.01
pinche.n.01	mammal.n.01
woodland_caribou.n.01	deer.n.01
eastern_pipistrel.n.01	mammal.n.01
american_bison.n.01	even-toed_ungulate.n.01
poodle.n.01	placental.n.01
indian_mongoose.n.01	viverrine.n.01
neandertal_man.n.01	neandertal_man.n.01
lapdog.n.01	carnivore.n.01
mountain_gorilla.n.01	ape.n.01
tasmanian_devil.n.01	tasmanian_devil.n.01
cinnamon_bear.n.01	cinnamon_bear.n.01
porpoise.n.01	dolphin.n.02
raccoon_dog.n.01	carnivore.n.01
rat_terrier.n.01	placental.n.01
african_elephant.n.01	proboscidean.n.01
field_spaniel.n.01	spaniel.n.01
white_whale.n.01	toothed_whale.n.01
wheel_horse.n.01	workhorse.n.02
warhorse.n.03	equine.n.01
agouti.n.01	agouti.n.01
grivet.n.01	placental.n.01
orangutan.n.01	orangutan.n.01
pacer.n.02	ungulate.n.01
retriever.n.01	mammal.n.01
gnu.n.01	mammal.n.01
king_charles_spaniel.n.01	mammal.n.01
cob.n.02	harness_horse.n.01
jennet.n.01	placental.n.01
pomeranian.n.01	carnivore.n.01
remount.n.01	odd-toed_ungulate.n.01
oryx.n.01	antelope.n.01
tamarin.n.01	monkey.n.01
yorkshire_terrier.n.01	dog.n.01
galago.n.01	primate.n.02
heifer.n.01	placental.n.01
hippopotamus.n.01	hippopotamus.n.01
red-backed_mouse.n.01	red-backed_mouse.n.01
indian_rhinoceros.n.01	rhinoceros.n.01
friesian.n.01	bovid.n.01
crab-eating_raccoon.n.01	procyonid.n.01
wallaby.n.01	mammal.n.01
nonstarter.n.02	mammal.n.01
goat_antelope.n.01	even-toed_ungulate.n.01
mountain_sheep.n.01	bovid.n.01
bouvier_des_flandres.n.01	dog.n.01
toy_manchester.n.01	hunting_dog.n.01
longtail_weasel.n.01	musteline_mammal.n.01
aquatic_mammal.n.01	placental.n.01
macrotus.n.01	mammal.n.01
kanchil.n.01	ungulate.n.01
sheep.n.01	mammal.n.01
macaque.n.01	monkey.n.01
red_fox.n.02	canine.n.02
thoroughbred.n.02	horse.n.01
caracal.n.01	placental.n.01
hinny.n.01	placental.n.01
blenheim_spaniel.n.01	dog.n.01
welsh_springer_spaniel.n.01	canine.n.02
american_flying_squirrel.n.01	rodent.n.01
appaloosa.n.01	saddle_horse.n.01
barren_ground_caribou.n.01	ruminant.n.01
bactrian_camel.n.01	bactrian_camel.n.01
snowshoe_hare.n.01	leporid.n.01
irish_water_spaniel.n.01	sporting_dog.n.01
marsupial.n.01	mammal.n.01
lincoln.n.03	mammal.n.01
chiacoan_peccary.n.01	chiacoan_peccary.n.01
miniature_schnauzer.n.01	dog.n.01
american_water_spaniel.n.01	hunting_dog.n.01
ape.n.01	placental.n.01
eastern_cottontail.n.01	eastern_cottontail.n.01
sea_lion.n.01	sea_lion.n.01
spotted_hyena.n.01	mammal.n.01
durham.n.02	durham.n.02
ord_kangaroo_rat.n.01	rodent.n.01
galloway.n.02	beef.n.01
silky_pocket_mouse.n.01	pocket_mouse.n.01
chestnut.n.06	ungulate.n.01
tibetan_terrier.n.01	dog.n.01
toy_terrier.n.01	mammal.n.01
gee-gee.n.01	placental.n.01
longwool.n.01	placental.n.01
banteng.n.01	placental.n.01
bovine.n.01	even-toed_ungulate.n.01
borzoi.n.01	mammal.n.01
three-year-old_horse.n.01	placental.n.01
water_chevrotain.n.01	placental.n.01
java_man.n.01	homo.n.02
ibex.n.01	mammal.n.01
miniature_pinscher.n.01	pinscher.n.01
zebu.n.01	brahman.n.04
muishond.n.01	weasel.n.02
borzoi.n.01	wolfhound.n.01
tigress.n.01	big_cat.n.01
carabao.n.01	water_buffalo.n.01
hare_wallaby.n.01	metatherian.n.01
indian_rhinoceros.n.01	ungulate.n.01
rabbit_ears.n.02	lagomorph.n.01
tiger_cub.n.01	feline.n.01
shire.n.02	ungulate.n.01
bandicoot.n.01	bandicoot.n.01
guinea_pig.n.02	guinea_pig.n.02
wolverine.n.03	mammal.n.01
soft-coated_wheaten_terrier.n.01	carnivore.n.01
duplicidentata.n.01	duplicidentata.n.01
cairn.n.02	hunting_dog.n.01
sloth_bear.n.01	mammal.n.01
shrew.n.02	mammal.n.01
american_mink.n.01	mink.n.03
wild_dog.n.01	canine.n.02
sheep.n.01	placental.n.01
neandertal_man.n.01	placental.n.01
eurasian_badger.n.01	musteline_mammal.n.01
pinscher.n.01	mammal.n.01
bull_mastiff.n.01	mammal.n.01
lapin.n.02	lapin.n.02
mountain_goat.n.01	mountain_goat.n.01
hack.n.06	mammal.n.01
paranthropus.n.01	mammal.n.01
cur.n.01	placental.n.01
galloway.n.02	cattle.n.01
lioness.n.01	carnivore.n.01
pteropus_hypomelanus.n.01	fruit_bat.n.01
old_world_least_weasel.n.01	carnivore.n.01
merino.n.01	mammal.n.01
hoary_marmot.n.01	placental.n.01
remount.n.01	ungulate.n.01
cynocephalus_variegatus.n.01	placental.n.01
red_fox.n.02	placental.n.01
bowhead.n.01	mammal.n.01
small_civet.n.01	small_civet.n.01
capuchin.n.02	placental.n.01
giant_eland.n.01	giant_eland.n.01
farm_horse.n.01	equine.n.01
dark_horse.n.02	horse.n.01
wolf_pup.n.01	canine.n.02
seeing_eye_dog.n.01	placental.n.01
bushbuck.n.01	antelope.n.01
grevy's_zebra.n.01	ungulate.n.01
fallow_deer.n.01	fallow_deer.n.01
saiga.n.01	saiga.n.01
spearnose_bat.n.01	carnivorous_bat.n.01
eastern_chimpanzee.n.01	placental.n.01
coati.n.01	procyonid.n.01
horseshoe_bat.n.01	bat.n.01
sable.n.05	carnivore.n.01
shih-tzu.n.01	placental.n.01
vaquita.n.01	dolphin.n.02
maltese_dog.n.01	canine.n.02
welsh_terrier.n.01	carnivore.n.01
prairie_vole.n.01	vole.n.01
cow.n.01	cattle.n.01
malamute.n.01	mammal.n.01
tigress.n.01	tiger.n.02
zebra.n.01	zebra.n.01
european_rabbit.n.01	european_rabbit.n.01
rorqual.n.01	mammal.n.01
sausage_dog.n.01	dachshund.n.01
eskimo_dog.n.01	dog.n.01
greater_kudu.n.01	kudu.n.01
wapiti.n.01	deer.n.01
virginia_deer.n.01	even-toed_ungulate.n.01
border_terrier.n.01	placental.n.01
pony.n.05	mammal.n.01
mangabey.n.01	monkey.n.01
killer_whale.n.01	placental.n.01
boar.n.02	boar.n.02
south_american_sea_lion.n.01	eared_seal.n.01
gerenuk.n.01	antelope.n.01
roe_deer.n.01	roe_deer.n.01
whirlaway.n.01	whirlaway.n.01
golden_mole.n.01	insectivore.n.01
pygmy_marmoset.n.01	pygmy_marmoset.n.01
cotswold.n.01	cotswold.n.01
broadtail.n.02	placental.n.01
black_sheep.n.02	sheep.n.01
beaver.n.07	beaver.n.07
gee-gee.n.01	ungulate.n.01
rock_squirrel.n.01	mammal.n.01
giant_schnauzer.n.01	hunting_dog.n.01
japanese_spaniel.n.01	toy_dog.n.01
stag.n.02	mammal.n.01
jerboa.n.01	rodent.n.01
hog-nosed_skunk.n.01	skunk.n.04
bengal_tiger.n.01	carnivore.n.01
new_world_least_weasel.n.01	musteline_mammal.n.01
guenon.n.01	monkey.n.01
toy_dog.n.01	dog.n.01
domestic_ass.n.01	placental.n.01
sei_whale.n.01	cetacean.n.01
spitz.n.01	carnivore.n.01
desmodus_rotundus.n.01	bat.n.01
woolly_monkey.n.01	monkey.n.01
walker_hound.n.01	carnivore.n.01
grevy's_zebra.n.01	odd-toed_ungulate.n.01
domestic_sheep.n.01	mammal.n.01
police_dog.n.01	working_dog.n.01
american_staffordshire_terrier.n.01	canine.n.02
pallid_bat.n.01	pallid_bat.n.01
irish_wolfhound.n.01	wolfhound.n.01
silver_fox.n.01	carnivore.n.01
clydesdale_terrier.n.01	terrier.n.01
western_big-eared_bat.n.01	carnivorous_bat.n.01
black_rhinoceros.n.01	rhinoceros.n.01
war_admiral.n.01	thoroughbred.n.02
indian_elephant.n.01	indian_elephant.n.01
liver_chestnut.n.01	ungulate.n.01
irish_wolfhound.n.01	mammal.n.01
lynx.n.02	lynx.n.02
bengal_tiger.n.01	feline.n.01
brabancon_griffon.n.01	mammal.n.01
kudu.n.01	mammal.n.01
mountain_sheep.n.01	wild_sheep.n.01
capuchin.n.02	monkey.n.01
cattle.n.01	bovine.n.01
mountain_gorilla.n.01	gorilla.n.01
crowbait.n.01	odd-toed_ungulate.n.01
manul.n.01	cat.n.01
western_pipistrel.n.01	mammal.n.01
secretariat.n.02	horse.n.01
procyonid.n.01	procyonid.n.01
mole_rat.n.01	placental.n.01
black_rhinoceros.n.01	mammal.n.01
kanchil.n.01	mammal.n.01
english_setter.n.01	setter.n.02
european_hare.n.01	mammal.n.01
welsh_pony.n.01	placental.n.01
shetland_sheepdog.n.01	carnivore.n.01
whitetail_prairie_dog.n.01	rodent.n.01
coati.n.01	placental.n.01
pocket_rat.n.01	mammal.n.01
tigress.n.01	feline.n.01
civet.n.01	viverrine.n.01
maltese_dog.n.01	dog.n.01
green_monkey.n.01	monkey.n.01
chickeree.n.01	mammal.n.01
frosted_bat.n.01	mammal.n.01
bat.n.01	bat.n.01
swine.n.01	swine.n.01
bongo.n.02	bovid.n.01
bullock.n.02	ruminant.n.01
tree_squirrel.n.01	tree_squirrel.n.01
bloodhound.n.01	hound.n.01
otter.n.02	mammal.n.01
pole_horse.n.01	odd-toed_ungulate.n.01
chiacoan_peccary.n.01	mammal.n.01
kangaroo_mouse.n.02	mammal.n.01
water_shrew.n.01	placental.n.01
cryptoprocta.n.01	viverrine.n.01
pony.n.01	odd-toed_ungulate.n.01
